from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
"James Hamilton, Earl of Arran, Duke of Chatelherault","Sir William Cecil, Lord Burghley",15651017,15651017,Newcastle-upon-Tyne,54.97222222,-1.608333333,Court of St. James,-0.1375,51.50472222
"Captain Tomaso Sassetti, London",Sir Francis Walsingham,15821125,15821125,Paris,48.8567,2.3508,Paris,2.3508,48.8567
"Gilbert Talbot, Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15961003,15961003,Rouen,49.44,1.1,Court of St. James,-0.1375,51.50472222
Sir John Smith,"Sir William Cecil, Lord Burghley",15870101,15871231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Tho. Chiverton,Sir Francis Walsingham,15890916,15890916,Cornwall,50.3,-4.9,Paris,2.3508,48.8567
Sir John Wallop,Privy Council,15431204,15431204,Guisnes,50.8686,1.8744,Greenwich,-0,51.48
Cardinal Thomas Wolsey,"Richard Sampson, Bishop of Coventry and Lichfield",15150516,15150516,Westminster,51.4995,-0.1333,Burgos,-3.706666667,42.35
Queen Elizabeth I,Sir Francis Englefield,15620510,15620510,Westminster,51.4995,-0.1333,NA,NA,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15170814,15170814,Calais,50.94805556,1.856388889,Westminster,-0.1333,51.4995
"Robert Sidney, Earl of Leicester","Sir William Cecil, Lord Burghley",15910306,15910306,Flushing,51.45,3.566666667,Court of St. James,-0.1375,51.50472222
"Holy Roman Emperor Charles V, (King Charles I of Spain)",Henry VIII,15420813,15420813,Monzon,41.91,0.19,Greenwich,-0,51.48
Gilbert Towle,Ambassador Archibald Douglas,15881106,15881106,NA,NA,NA,NA,NA,NA
"John Arnote, Provost of Edinburgh",Sir Henry Killigrew,15740823,15740823,Edinburgh,55.95305556,-3.188888889,Berwick,-2.007,55.771
Sir Nicholas Throckmorton,Queen Elizabeth I,15621015,15621015,NA,NA,NA,Greenwich,-0,51.48
John Husee,"Arthur Plantagenet, Lord Lisle",15390304,15390304,London,51.5155,0.0922,Calais,1.856388889,50.94805556
Agnes Whitwell,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",15960101,15961231,NA,NA,NA,NA,NA,NA
Sir Noel de Caron,"Sir Robert Cecil, Earl of Salisbury",16020719,16020719,Clapham,51.46,-0.14,Greenwich,-0,51.48
King James VI,Queen Elizabeth I,15860826,15860826,Falkland Palace,56.25388889,-3.206388889,Greenwich,-0,51.48
William Purevey,"Sir Robert Cecil, Earl of Salisbury",15971014,15971014,Higham Ferrers,52.3057,-0.5844,Greenwich,-0,51.48
Adam Loftus,Sir Francis Walsingham,15850809,15850809,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
Nicholas Wotton,Henry VIII,15430507,15430507,Nieuport,51.11666667,2.75,Greenwich,-0,51.48
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15350304,15350304,Rome,41.9,12.5,Brussels,4.35,50.85
John [Jewell] Bishop of Salisbury,Henry (Heinrich) Bullinger,15590522,15590522,London,51.5155,0.0922,NA,NA,NA
"William Thornton or Dent, Abbot of St. Mary, York","Thomas Cromwell, Earl of Essex",15330309,15330309,York,53.95833333,-1.080277778,Hampton Court,-0.3375,51.40333333
Wm. Darrell,Privy Council,15850323,15850323,NA,NA,NA,Greenwich,-0,51.48
Richard Pace,Cardinal Thomas Wolsey,15180325,15180325,Reading,51.455,-0.970555556,Westminster,-0.1333,51.4995
Nicholas Shepard,"Sir William Cecil, Lord Burghley",15720302,15720302,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Edward Suliard,Sir Michael Hicks (Hickes),15840101,15841231,NA,NA,NA,NA,NA,NA
George Gilpin,"Robert Dudley, Earl of Leicester",15871106,15871106,Hague,52.08333333,4.316666667,Flushing,3.566666667,51.45
Harry Capell,"Thomas Cromwell, Earl of Essex",15360410,15360410,Nony,51.2099,-2.3793,Hampton Court,-0.3375,51.40333333
"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",Cardinal Thomas Wolsey,15240831,15240831,Newcastle-upon-Tyne,54.97222222,-1.608333333,Westminster,-0.1333,51.4995
States Envoys,"Sir William Cecil, Lord Burghley",15890815,15890825,London,51.5155,0.0922,Court of St. James,-0.1375,51.50472222
John Hollway,Privy Council,15860201,15860228,NA,NA,NA,Greenwich,-0,51.48
Queen Elizabeth I,"Maurice of Nassau, Prince of Orange",15930314,15930314,Court of St. James,51.50472222,-0.1375,NA,NA,NA
Sir Anthony Knyvet,"Thomas Cromwell, Earl of Essex",15370920,15370920,Hampton Court,51.40333333,-0.3375,Hampton Court,-0.3375,51.40333333
Queen Elizabeth I,John Colville,15830514,15830514,NA,NA,NA,London,0.0922,51.5155
"John Russell, Earl of Bedford","Thomas Cromwell, Earl of Essex",15330710,15330710,Streynsham,52.05294722,-2.144583333,Hampton Court,-0.3375,51.40333333
Sir Horatio Palavicino,"Sir Robert Cecil, Earl of Salisbury",15940328,15940328,London,51.5155,0.0922,Greenwich,-0,51.48
Sir William Russell,"Sir William Cecil, Lord Burghley",15950818,15950818,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Adrian Vasseur,Abbot of St. Vaast,15910717,15910727,Nijmegen,51.85,5.866666667,NA,NA,NA
"Charles [Stourton], Lord Stourton","Sir William Cecil, Lord Burghley",15670726,15670726,E'Urimurso,51.38852778,6.7065,Court of St. James,-0.1375,51.50472222
Sir Ralph Sadler,Sir Francis Walsingham,15850312,15850312,Tutbury,52.854,-1.686,Paris,2.3508,48.8567
Council of Scotland,"Henry Clifford, 1st Earl of Cumberland",15260704,15260704,Edinburgh,55.95305556,-3.188888889,Skipton Castle,-2.015555556,53.96361111
Colonel Martin Schenck,Sir Henry Killigrew,15880629,15880709,Hague,52.08333333,4.316666667,Berwick,-2.007,55.771
"William Brereton, 1st Baron Brereton",Privy Council,15970628,15970628,Brereton,53.174,-2.334,Greenwich,-0,51.48
M. de la Brosse,Sir James Croft,15600120,15600120,NA,NA,NA,Berwick,-2.007,55.771
Sir John Perrott,Sir Francis Walsingham,15841204,15841204,Dublin Castle,53.34288611,-6.267427778,Paris,2.3508,48.8567
"Henry IV, King of France","Jean de la Fin, Seigneur de Beauvoir la Nocle",15910409,15910419,Chartres,48.456,1.484,London,0.0922,51.5155
"Lucas Dillon, Attorney General","Sir William Cecil, Lord Burghley",15880118,15880118,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Humphrey Guybon,Sir Walter Mildmay,15630128,15890128,NA,NA,NA,NA,NA,NA
"Sir William Cecil, Lord Burghley",Sir Henry Sidney,15670225,15670225,NA,NA,NA,NA,NA,NA
Sir William Eure,Privy Council,15400106,15400106,Berwick,55.771,-2.007,Greenwich,-0,51.48
Peter Proby,"Sir William Cecil, Lord Burghley",15960326,15960326,Chester,53.1903,-2.8916,Court of St. James,-0.1375,51.50472222
"William Paget, Lord Paget",Sir William Petre,15460522,15460522,NA,NA,NA,Bourbourg,2.1986,50.9472
Henry Hovenden,"Hugh O'Neill, Earl of Tyrone",15960627,15960627,Dublin,53.34777778,-6.259722222,Dungannon,-6.77,54.5
Sir Horatio Palavicino,Sir Francis Walsingham,15860424,15860424,Frankfurt,50.11666667,8.683333333,Paris,2.3508,48.8567
Jerome Dachey,M. Javouel,15900917,15900927,NA,NA,NA,NA,NA,NA
"Henry Fitzroy, Duke of Richmond and Somerset",Henry VIII,15260304,15260304,Sheriff Hutton,54.08938889,-1.004702778,Greenwich,-0,51.48
William Carnsew jun.,"William Turner, doctor of medicine",15880101,15881231,NA,NA,NA,NA,NA,NA
"Tobias Matthew, Archbishop of York","Sir William Cecil, Lord Burghley",15960503,15960503,Durham,54.7761,-1.5733,Court of St. James,-0.1375,51.50472222
"John Taylor, Master of the Rolls",Cardinal Thomas Wolsey,15261224,15261224,Lyons,45.76,4.84,Westminster,-0.1333,51.4995
Lord Thomas Fitzmaurice of Kerry,Commissioners of Munster at Askeaton,15800915,15800915,NA,NA,NA,NA,NA,NA
Sir Richard Bulkeley,"Thomas Cromwell, Earl of Essex",15370225,15370225,Beaumaris,53.267,-4.093,Hampton Court,-0.3375,51.40333333
